component,items
motherboard,"['ASRock 760GM-HDV, ASRock 760GM-HDV, C$259.99', 'ASRock B450 Pro4, ASRock B450 Pro4, C$330.75', 'ASRock B460 Steel Legend, ASRock B460 Steel Legend, C$280.19', 'ASRock B460M Steel Legend, ASRock B460M Steel Legend, C$228.55', 'ASRock B550 PG Velocita, ASRock B550 PG Velocita, C$304.74', 'ASRock B550 Phantom Gaming-ITX/ax, ASRock B550 Phantom Gaming-ITX/ax, C$272.30', 'ASRock B550M Phantom Gaming 4, ASRock B550M Phantom Gaming 4, C$259.92', 'ASRock B550M-ITX/ac, ASRock B550M-ITX/ac, C$248.95', 'ASRock C236M WS, ASRock C236M WS, C$272.77', 'ASRock E3C236D4U, ASRock E3C236D4U, C$331.07']"
cpu,"['AMD A10-7870K, AMD A10-7870K, C$353.36', 'AMD A8-7600, AMD A8-7600, C$238.65', 'AMD FX-4350, AMD FX-4350, C$236.31', 'AMD FX-8320, AMD FX-8320, C$295.22', 'AMD Ryzen 5 1500X, AMD Ryzen 5 1500X, C$251.00', 'AMD Ryzen 5 1600 (12nm), AMD Ryzen 5 1600 (12nm), C$299.00', 'AMD Ryzen 5 3600, AMD Ryzen 5 3600, C$311.95', 'AMD Ryzen 5 3600X, AMD Ryzen 5 3600X, C$339.00', 'AMD Ryzen 5 5600G, AMD Ryzen 5 5600G, C$288.50', 'AMD Ryzen 5 5600X, AMD Ryzen 5 5600X, C$349.50']"
video-card,"['AMD 100-506095, AMD 100-506095, C$975.99', 'ASRock Challenger D OC, ASRock Challenger D OC, C$989.99', 'ASRock Phantom Gaming D OC, ASRock Phantom Gaming D OC, C$809.98', 'ATI FirePro W8000, ATI FirePro W8000, C$1,169.68', 'Asus CERBERUS, Asus CERBERUS, C$990.34', 'Asus DUAL EVO OC, Asus DUAL EVO OC, C$820.00', 'Asus DUAL OC, Asus DUAL OC, C$1,003.96', 'Asus DirectCU II, Asus DirectCU II, C$897.93', 'Asus DirectCU II, Asus DirectCU II, C$897.93', 'Asus Phoenix OC, Asus Phoenix OC, C$899.99']"
memory,"['ADATA XPG GAMMIX D10 16 GB, ADATA XPG GAMMIX D10 16 GB, C$217.99', 'Acer Predator Apollo 16 GB, Acer Predator Apollo 16 GB, C$248.98', 'Acer Predator Apollo 16 GB, Acer Predator Apollo 16 GB, C$232.98', 'Acer Predator Apollo 16 GB, Acer Predator Apollo 16 GB, C$231.98', 'Acer Predator Talos 16 GB, Acer Predator Talos 16 GB, C$159.98', 'Corsair Dominator Platinum 32 GB, Corsair Dominator Platinum 32 GB, C$172.98', 'Corsair Dominator Platinum RGB 16 GB, Corsair Dominator Platinum RGB 16 GB, C$159.99', 'Corsair Dominator Platinum RGB 16 GB, Corsair Dominator Platinum RGB 16 GB, C$154.99', 'Corsair Dominator Platinum RGB 16 GB, Corsair Dominator Platinum RGB 16 GB, C$156.99', 'Corsair Dominator Platinum RGB 16 GB, Corsair Dominator Platinum RGB 16 GB, C$164.98']"
cpu-cooler,"['ARCTIC Alpine 11 GT Rev 2, ARCTIC Alpine 11 GT Rev 2, C$103.60', 'ARCTIC Freezer 33 CO, ARCTIC Freezer 33 CO, C$95.40', 'ARCTIC Freezer 34 eSports DUO, ARCTIC Freezer 34 eSports DUO, C$79.98', 'ARCTIC Freezer 34 eSports DUO, ARCTIC Freezer 34 eSports DUO, C$124.64', 'ARCTIC Freezer 34 eSports DUO, ARCTIC Freezer 34 eSports DUO, C$75.98', 'ARCTIC Freezer 50, ARCTIC Freezer 50, C$91.33', 'ARCTIC Freezer 50 TR, ARCTIC Freezer 50 TR, C$107.16', 'ARCTIC Freezer i32, ARCTIC Freezer i32, C$84.10', 'ARCTIC Liquid Freezer II 120, ARCTIC Liquid Freezer II 120, C$92.99', 'ARCTIC Liquid Freezer II 240, ARCTIC Liquid Freezer II 240, C$119.99']"
power-supply,"['ARESGAME AGS, ARESGAME AGS, C$79.98', 'Aerocool Integrator, Aerocool Integrator, C$90.32', 'Antec Basiq, Antec Basiq, C$122.18', 'Antec Earthwatts Gold Pro, Antec Earthwatts Gold Pro, C$93.99', 'Antec Earthwatts Gold Pro, Antec Earthwatts Gold Pro, C$86.50', 'Antec High Current Gamer Gold, Antec High Current Gamer Gold, C$88.99', 'Antec NeoECO Classic, Antec NeoECO Classic, C$84.98', 'Antec NeoECO Gold, Antec NeoECO Gold, C$109.98', 'Apevia CAPTAIN, Apevia CAPTAIN, C$95.66', 'Apevia Prestige, Apevia Prestige, C$106.80']"
wireless-network-card,"['Edimax EW-7811UTC, Edimax EW-7811UTC, C$23.99', 'Gigabyte GC-WB1733D-I, Gigabyte GC-WB1733D-I, C$23.10', 'StarTech USB150WN1X1, StarTech USB150WN1X1, C$20.19', 'StarTech USB150WN1X1W, StarTech USB150WN1X1W, C$19.53', 'StarTech USB300WN2X2C, StarTech USB300WN2X2C, C$23.77', 'TP-Link ARCHER T2U PLUS, TP-Link ARCHER T2U PLUS, C$16.98', 'TP-Link Archer T2U, TP-Link Archer T2U, C$17.99', 'TP-Link Archer T3U, TP-Link Archer T3U, C$22.99', 'TP-Link TL-WN822N, TP-Link TL-WN822N, C$16.99', 'TP-Link TL-WN881ND, TP-Link TL-WN881ND, C$16.98']"
